alu_id,opcode,a,b,a_hw,b_hw,y_toggles
0,13,61175,8006,13,8,11
0,4,16544,21498,3,10,6
0,12,58163,55040,9,6,8
0,15,11632,43561,7,7,9
0,3,29078,24023,8,11,11
0,10,56838,74,8,3,8
0,13,48961,1928,9,5,7
0,3,56689,8744,10,4,7
0,14,57964,9301,8,6,12
0,1,3439,35828,9,9,7
0,13,30419,8728,10,4,8
0,5,53241,456,12,4,8
0,0,18504,44003,4,10,7
0,0,8586,13927,5,9,9
0,15,61280,48974,9,11,8
0,4,46706,27122,9,9,4
0,14,26856,57752,7,7,8
0,11,11256,1165,9,5,12
0,0,50863,12088,10,8,12
0,1,2465,16532,5,4,9
0,11,50465,32549,6,10,6
0,12,315,48686,6,10,4
0,2,26390,33824,8,3,11
0,5,63637,10797,9,7,7
0,8,40967,62952,5,10,8
0,11,14184,58007,8,9,1
0,3,62007,39250,10,7,4
0,4,30854,36209,7,8,9
0,2,628,30834,5,8,7
0,4,8140,47240,9,6,9
0,4,19330,64140,6,9,6
0,1,16527,35013,6,6,5
0,6,44053,65483,7,13,13
0,13,53546,17141,7,8,6
0,14,5958,59,7,5,10
0,4,49555,740,7,5,7
0,1,9330,15218,6,9,9
0,12,7605,18339,9,8,5
0,14,47767,49201,10,5,11
0,4,11863,41334,9,8,10
0,9,44032,41075,4,7,7
0,13,39794,17950,9,7,8
0,7,22989,3069,9,10,5
0,6,32539,50638,11,9,6
0,13,18634,25991,6,8,7
0,2,39724,35109,8,6,9
0,13,54515,29571,10,8,7
0,12,26032,37817,7,9,6
0,2,49064,31130,10,9,13
0,15,13213,4092,9,10,11
0,0,54489,20492,9,4,7
0,15,21596,61825,7,7,9
0,8,37032,38307,5,8,9
0,8,14329,40125,11,10,0
0,13,47903,46955,11,11,9
0,1,33686,32779,7,4,4
0,10,655,10303,6,8,7
0,5,14971,46637,10,9,9
0,10,43775,30301,12,10,11
0,13,57815,42813,10,10,7
0,2,6938,27371,7,10,9
0,6,37673,41747,7,7,8
0,2,35357,10454,7,7,10
0,7,9870,34962,7,5,11
0,14,39662,20037,10,7,12
0,4,20589,25767,7,8,7
0,6,64546,7257,8,7,10
0,11,50317,2309,7,4,10
0,11,2511,34892,8,5,3
0,3,19623,48408,8,8,2
0,11,26476,26639,9,7,2
0,7,61904,52527,8,10,1
0,5,42784,36078,6,9,9
0,4,6002,12980,8,7,9
0,3,59552,57779,6,9,8
0,4,40479,14300,10,10,7
0,14,30773,36068,8,7,7
0,4,1198,3001,6,8,9
0,6,27738,6157,8,5,9
0,1,33620,27356,6,9,11
0,11,17786,32823,8,6,6
0,14,11015,18009,7,7,14
0,5,37334,25371,8,8,10
0,8,4554,20315,6,10,7
0,12,36096,6481,4,6,9
0,9,23837,44017,9,10,4
0,15,48319,55185,12,9,10
0,0,31426,33919,8,9,10
0,7,38005,52504,8,7,10
0,7,12270,47633,11,7,0
0,15,5133,18136,5,7,9
0,4,47170,29355,6,9,6
0,5,25094,52700,5,10,6
0,8,62641,48439,9,11,11
0,14,30999,17458,9,5,13
0,2,31547,15117,11,8,7
0,8,47428,3743,7,9,12
0,0,49615,46322,9,9,8
0,9,37825,10039,7,9,8
0,6,14449,49375,7,9,7
0,12,7299,18310,6,7,9
0,12,27155,25168,7,5,8
0,14,49657,315,9,6,9
0,13,8712,43794,3,7,5
0,11,53444,59885,6,11,10
0,13,33476,20271,5,10,5
0,15,10828,42723,6,9,10
0,14,12053,23212,8,8,10
0,6,55735,10233,11,10,11
0,3,24787,48256,7,6,8
0,9,45809,44149,9,9,10
0,0,4138,62882,4,9,8
0,7,64203,63765,11,9,7
0,10,5305,44787,7,11,9
0,2,65516,26396,13,8,6
0,10,15673,24448,9,7,7
0,0,47595,3662,11,7,12
0,8,29755,59677,9,9,6
0,11,28859,59080,9,8,1
0,14,58560,14999,6,9,14
0,2,23004,57558,9,8,6
0,3,4786,61352,6,10,13
0,10,11566,1479,8,7,3
0,4,406,60417,5,6,11
0,9,56272,40641,9,8,8
0,1,17922,1918,4,9,8
0,4,6360,20678,6,6,9
0,12,16473,39492,5,6,10
0,12,2356,16186,5,10,9
0,0,9199,13717,10,8,7
0,6,55223,8551,12,7,7
0,12,6862,10718,8,9,8
0,10,24636,30010,6,9,12
0,14,30949,14667,9,8,10
0,7,52362,35593,7,6,12
0,12,50467,13943,7,10,4
0,10,11070,45842,9,7,4
0,5,57589,39906,9,9,6
0,13,7276,24305,7,10,6
